7540101,"Công nghệ thực phẩm","A00; A01; B00; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620211,"Quản lý tài nguyên rừng (Kiểm lâm)","A00; A01; B00; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620112,"Bảo vệ thực vật","A00; A01; B00; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310101,"Kinh tế","A00; A01; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","A00; A01; B00; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540106,"Đảm bảo chất lượng và ATTP","A00; A01; B00; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220204,"Ngôn ngữ Trung Quốc","A00; A01; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
51140201,"Giáo dục Mầm non",M00,17,19.5,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140209,"Sư phạm Toán học","A00; B00; A16",19,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140212,"Sư phạm Hóa học","A00; A01; A16",19,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140213,"Sư phạm Sinh học","B00; A02; A16",19,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220101,"Tiếng Việt và VHVN","C00; D01; C15; D78",15,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; D09; D14; D78",15,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; A16; D90",15,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - Ngân hàng","A00; A01; A16; D90",15,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; A16; D90",15,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7440301,"Khoa học môi trường","A01; A02; B00; D07",15,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; A16; D90",15,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620105,"Chăn nuôi","A02; B00; A16; D90",15,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620112,"Bảo vệ thực vật","A02; B00; A16; D90",15,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620301,"Nuôi trồng thủy sản","A02; B00; A16; D90",15,0,0,8,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; A02; D01",16.5,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510202,"công nghệ chế tạo máy","A00; A01; A02; D01",15,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510205,"Công nghệ kỹ thuật ô tô","A00; A01; A02; D01",16,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510206,"Công nghệ kỹ thuật nhiệt","A00; A01; A02; D01",15,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510303,"Công nghệ kỹ thuật điều khiển - tự động hoá","A00; A01; A02; D01",15,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510301,"Công nghệ kỹ thuật điện - điện tử","A00; A01; A02; D01",15,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"Kỹ thuật xây dựng","A00; A01; A02; D01",15,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"Công nghệ thực phẩm","A00; A01; A02; B00",15,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; C00",16,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810201,"Quản trị khách sạn","D14; D15; C00; D01",16,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","D14; D15; C00; D01",16,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính ngân hàng","A00; A01; D01; C00",15,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; C00",15,18,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720201,"Dược học","A00; A02; B00; D07",21,24,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720301,"Điều dưỡng","A00; A02; B00; D07",19,19.5,0,10,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480200,"Nhóm ngành Kỹ thuật CAND",A00,27.34,0,0,11,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480200,"Nhóm ngành Kỹ thuật CAND",A01,27.98,0,0,11,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480200,"Nhóm ngành Kỹ thuật CAND",A00,26.33,0,0,12,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480200,"Nhóm ngành Kỹ thuật CAND",A01,27.15,0,0,12,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310202,"Xây dựng Đảng và chính quyền Nhà nước",A00,24.13,0,0,13,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310202,"Xây dựng Đảng và chính quyền Nhà nước",C00,26.77,0,0,13,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310202,"Xây dựng Đảng và chính quyền Nhà nước",D01,23.1,0,0,13,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210403,"Thiết kế đồ họa","V00; V01; H00; H01",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580108,"Thiết kế nội thất","V00; V01; H00; H01",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210404,"Thiết kế thời trang","V00; V01; H00; H01",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; B00; D01",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính ngân hàng","A00; A01; B00; D01",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; B00; D01",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật kinh tế","A01; C00; C10; D01",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A01; A10; A15; D90",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510302,"Công nghệ kỹ thuật điện tử viễn thông","A00; A01; D01; 004",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580101,"Kiến trúc","V00; V01",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580302,"Quản lý xây dựng","A00; A01; D01; C04",15,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720201,"Dược học","A00; A01; B00; D90",21,0,0,15,"2022-04-15 13:45:53","2022-04-15 13:45:53"
