F7340115,"Marketing - Chất lượng cao","A00; A01; D01",35.6,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7340101N,"Quản trị kinh doanh (Chuyên ngành: Quản trị nhà hàng - khách sạn) - Chất lượng cao","A00; A01; D01",34.3,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7340120,"Kinh doanh quốc tế - Chất lượng cao","A00; A01; D01",35.9,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7340201,"Tài chính - Ngân hàng - Chất lượng cao","A00; A01; D01; D07",33.7,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7340301,"Kế toán - Chất lượng cao","A00; A01; C01; D01",32.8,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7380101,"Luật - Chất lượng cao","A00; A01; C00; D01",33.3,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7420201,"Công nghệ sinh học - Chất lượng cao","A00; B00; D08",24,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7480101,"Khoa học máy tính - Chất lượng cao","A00; A01; D01",33.9,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7480103,"Kỹ thuật phần mềm - Chất lượng cao","A00; A01; D01",34,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7520201,"Kỹ thuật điện - Chất lượng cao","A00; A01; C01",24,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7520207,"Kỹ thuật điện tử viễn thông - Chất lượng cao","A00; A01; C01",24,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7520216,"Kỹ thuật điều khiển và tự động hóa - Chất lượng cao","A00; A01; C01",28,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7580201,"Kỹ thuật xây dựng - Chất lượng cao","A00; A01; C01",24,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
F7210403,"Thiết kế đồ họa - Chất lượng cao","H00; H01; H02",30.5,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FA7220201,"Ngôn ngữ Anh - Chương trình đại học bằng tiếng Anh","D01; D11",26,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FA7340115,"Marketing - Chương trình đại học bằng tiếng Anh","A00; A01; D01",33,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FA7340101N,"Quản trị kinh doanh (Chuyên ngành: Quản trị nhà hàng - khách sạn) - Chương trình đại học bằng tiếng Anh","A00; A01; D01",28,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FA7340120,"Kinh doanh quốc tế - Chương trình đại học bằng tiếng Anh","A00; A01; D01",33.5,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FA7420201,"Công nghệ sinh học - Chương trình đại học bằng tiếng Anh","A00; B00; D08",24,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FA7480101,"Khoa học máy tính - Chương trình đại học bằng tiếng Anh","A00; A01; D01",25,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FA7480103,"Kỹ thuật phần mềm - Chương trình đại học bằng tiếng Anh","A00; A01; D01",25,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FA7520216,"Kỹ thuật điều khiển và tự động hóa - Chương trình đại học bằng tiếng Anh","A00; A01; C01",24,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FA7580201,"Kỹ thuật xây dựng - Chương trình đại học bằng tiếng Anh","A00; A01; C01",24,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FA7340301,"Kế toán (Chuyên ngành: Kế toán quốc tế) - Chương trình đại học bằng tiếng Anh","A00; A01; C01; D01",25,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FA7340201,"Tài chính ngân hàng - Chương trình đại học bằng tiếng Anh","A00; A01; D01; D07",25,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FA7310630Q,"Việt Nam học (Chuyên ngành: Du lịch và Quản lý du lịch) - Chương trình đại học bằng tiếng Anh","A01; C00; C01; D01",25,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
N7220201,"Ngôn ngữ Anh - Chương trình 02 năm đầu học tại Nha Trang","D01; D11",32.9,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
N7340115,"Marketing - Chương trình 02 năm đầu học tại Nha Trang","A00; A01; D01",34.6,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
N7340101N,"Quản trị kinh doanh (Chuyên ngành: Quản trị nhà hàng - khách sạn) - Chương trình 02 năm đầu học tại Nha Trang","A00; A01; D01",31,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
N7340301,"Kế toán - Chương trình 02 năm đầu học tại Nha Trang","A00; A01; C01; D01",30.5,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
N7380101,"Luật - Chương trình 02 năm đầu học tại Nha Trang","A00; A01; C00; D01",30.5,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
N7310630,"Việt Nam học (Chuyên ngành: Du lịch và lữ hành)-Chương trình 02 năm đầu tại Nha Trang","A01; C00; C01; D01",25,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
N7480103,"Kỹ thuật phần mềm - Chương trình 02 năm đầu học tại Nha Trang","A00; A01; D01",29,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
B7220201,"Ngôn ngữ Anh - Chương trình 02 năm đầu học tại Bảo Lộc","D01; D11",31.5,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
B7340101N,"Quản trị kinh doanh (Chuyên ngành: Quản trị nhà hàng - khách sạn) - Chương trình 02 năm đầu học tại Bảo Lộc","A00; A01; D01",28,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
B7310630Q,"Việt Nam học (Chuyên ngành: Du lịch và quản lý du lịch) - Chương trình 02 năm đầu học tại Bảo Lộc","A01; C00; C01; D01",24.3,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
B7480103,"Kỹ thuật phần mềm - Chương trình 02 năm đầu học tại Bảo Lộc","A00; A01; D01",25,0,0,245,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7229030,"Văn học","C00; D01; D14; D15",16,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310630,"Việt Nam học","C00; D01; D14; D15",20,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7229040,"Văn hóa học","C00; D01; D14; D15",20,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310301,"Xã hội học","A00; C00; D01; C04",16,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220203,"Ngôn ngữ Pháp","A01; D01; D10; D15",20.5,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310401,"Tâm lý học","A00; B00; C00; D01",18.5,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480101,"Khoa học máy tính","A00; A01; D01; C01",16.05,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; C04",19,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - Ngân hàng","A00; A01; D01; C04",19,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; C04",19,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510605,"Công nghệ sinh học","A00; A02; B00; D07",19,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"Công nghệ thực phẩm","A00; A02; B00; D07",16.5,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; D01; C01",19,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520207,"Kỹ thuật điện tử - viễn thông","A00; A01; D01; C01",16.05,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510605,"Logistics và Quản lý chuỗi cung ứng","A00; A01; D01; C04",19,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","A00; C00; D01; C04",18,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810201,"Quản trị khách sạn","A00; C00; D01; C04",18,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810101,"Du lịch","A00; C00; D01; C04",18,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320108,"Quan hệ công chúng","C00; D01; D14; D15",18,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","A01; D01; D10; D15",19,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220209,"Ngôn ngữ Nhật","A01; D01; D10; D15",17.5,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220204,"Ngôn ngữ Trung Quốc","A01; D01; D10; D15",19,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310608,"Đông phương học","A01; D01; C00; D15",18,0,0,246,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210205,"THANH NHẠC",N00,22,24,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210208,PIANO,N00,22,24,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210402,"THIẾT KẾ CÔNG NGHIỆP","H03; H04; H05; H06",23,24,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210403,"THIẾT KẾ ĐỒ HỌA","H03; H04; H05; H06",26,24,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210404,"THIẾT KẾ THỜI TRANG","H03; H04; H05; H06",25,24,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210234,"DIỄN VIÊN KỊCH, ĐIỆN ẢNH - TRUYỀN HÌNH",S00,20,24,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210235,"ĐẠO DIỄN ĐIỆN ẢNH, TRUYỀN HÌNH",S00,20,24,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"NGÔN NGỮ ANH","D01; D08; D10",18,24,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220204,"NGÔN NGỮ TRUNG QUỐC","A01; D01; D04; D14",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7229030,"VĂN HỌC (ỨNG DỤNG)","C00; D01; D14; D66",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310401,"TÂM LÝ HỌC","B00; B03; C00; D01",19,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310608,"ĐÔNG PHƯƠNG HỌC","A01; C00; D01; D04",18,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320108,"QUAN HỆ CÔNG CHÚNG","A00; A01; C00; D01",24.5,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"QUẢN TRỊ KINH DOANH","A00; A01; C01; D01",19,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340115,MARKETING,"A00; A01; C01; D01",19.5,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340116,"BẤT ĐỘNG SẢN","A00; A01; C04; D01",19,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340121,"KINH DOANH THƯƠNG MẠI","A00; A01; C01; D01",18,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"TÀI CHÍNH - NGÂN HÀNG","A00; A01; C04; D01",19,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"KẾ TOÁN","A00; A01; D01; D10",17,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,LUẬT,"A00; A01; C00; D01",17,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"LUẬT KINH TẾ","A00; A01; C00; D01",17,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420201,"CÔNG NGHỆ SINH HỌC","A00; A02; B00; D08",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420205,"CÔNG NGHỆ SINH HỌC Y DƯỢC","A00; B00; D07; D08",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480103,"KỸ THUẬT PHẦN MỀM","A00; A01; D01; D10",17,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480109,"KHOA HỌC DỮ LIỆU","A00; A01; C01; D01",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"CÔNG NGHỆ THÔNG TIN","A00; A01; D01; D10",18,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510205,"CÔNG NGHỆ KỸ THUẬT Ô TÔ","A00; A01; C01; D01",17,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510301,"CÔNG NGHỆ KỸ THUẬT ĐIỆN, ĐIỆN TỬ","A00; A01; C01; D01",17,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510406,"CÔNG NGHỆ KỸ THUẬT MÔI TRƯỜNG","A00; B00; D07; D08",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510605,"LOGISTICS VÀ QUẢN LÝ CHUỖI CUNG ỨNG","A00; A01; C01; D01",20,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510606,"QUẢN TRỊ MÔI TRƯỜNG DOANH NGHIỆP","A00; B00; D07; D05",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520114,"KỸ THUẬT CƠ ĐIỆN TỬ","A00; A01; C01; D01",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520115,"KỸ THUẬT NHIỆT","A00; A01; D07",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"CÔNG NGHỆ THỰC PHẨM","A00; B00; D07; C02",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580101,"KIẾN TRÚC","V00; V01; H02",17,24,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580108,"THIẾT KẾ NỘI THẤT","H03; H04; H05; H06",19,24,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"KỸ THUẬT XÂY DỰNG","A00; A01; D01; D07",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580205,"KỸ THUẬT XD CÔNG TRÌNH GIAO THÔNG","A00; A01; D01; D07",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580302,"QUẢN LÝ XÂY DỰNG","A00; A01; D01; D07",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7589001,"THIẾT KẾ XANH","A00; A01; B00; D08",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620118,"NÔNG NGHIỆP CÔNG NGHỆ CAO","A00; B00; D07; D08",16,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720201,"DƯỢC HỌC","A00; B00; D07",21,24,750,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720301,"ĐIỀU DƯỠNG","B00; C08; D07; D08",19,19.5,700,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720501,"RĂNG - HÀM - MẶT","A00; B00; D07; D08",24,24,750,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720601,"KỸ THUẬT XÉT NGHIỆM Y HỌC","A00; B00; D07; D05",19,19.5,700,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7760101,"CÔNG TÁC XÃ HỘI","C00; C14; C20; D01",18,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"QUẢN TRỊ DỊCH VỤ DU LỊCH & LỮ HÀNH","A00; A01; D01; D03",19,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810201,"QUẢN TRỊ KHÁCH SẠN","A00; A01; D01; D03",19,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810202,"QUẢN TRỊ NHÀ HÀNG VÀ DỊCH VỤ ĂN UỐNG","A00; A01; D01; D03",17,18,650,247,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; C01; D01",16,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480103,"Kỹ thuật phần mềm","A00; A01; C01; D01",15,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480102,"Mạng máy tính và truyền thông dữ liệu","A00; A01; C01; D01",15,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A01; A00; C00; D01",16.5,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510605,"Logistics và quản lý chuỗi cung ứng","A01; A00; C00; D01",15,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340120,"Kinh doanh quốc tế","A01; A00; C00; D01",15,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính ngân hàng","A01; A00; C00; D01",15,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A01; A00; C00; D01",15,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810201,"Quản trị khách sạn","A01; A00; C00; D01",15,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340115,Marketing,"A01; A00; C00; D01",16,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"A01; A00; C00; D01",15,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","A01; A00; C00; D01",15.5,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310608,"Đông phương học","A01; A00; C00; D01",15.5,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320104,"Truyền thông đa phương tiện","A01; A00; C00; D01",15,5.5,0,248,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; D07",24.1,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; D07",23.45,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","A00; A01; D01; C01",20.45,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7840101,"Khai thác vận tải","A00; A01; D01; C01",24.85,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510605,"Logistics và Quản lý chuỗi cung ứng","A00; A01; D01; D07",25.55,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580301,"Kinh tế xây dựng","A00; A01; D01; C01",22.65,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580302,"Quản lý xây dựng","A00; A01; D01; C01",21.4,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"Kỹ thuật xây dựng","A00; A01; D01; D07",21.15,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580205,"Kỹ thuật xây dựng công trình giao thông","A00; A01; D01; D07",18.5,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; D07",24.3,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520320,"Kỹ thuật môi trường","A00; B00; D01; D07",15.4,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580101,"Kiến trúc","A00; A01; V00; V01",20.6,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520114,"Kỹ thuật cơ điện tử","A00; A01; D01; D07",23.25,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520116,"Kỹ thuật cơ khí động lực","A00; A01; D01; D07",22.8,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520130,"Kỹ thuật ô tô","A00; A01; D01; D07",24.15,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520201,"Kỹ thuật điện","A00; A01; D01; C01",22.55,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520207,"Kỹ thuật điện tử - viễn thông","A00; A01; D01; C01",21.95,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520216,"Kỹ thuật điều khiển và tự động hoá","A00; A01; D01; C01",23.45,0,0,249,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480102,"Mạng máy tính và truyền thông dữ liệu","A00; A01",24.2,26.7,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01",26,28.2,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75106051,"Logistics và Quản lý chuỗi cung ứng (Quản trị Logistics và vận tải đa phương thức)","A00; A01; D01",26.9,29.1,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75106052,"Logistics và Quản lý chuỗi cung ứng (Logistics và Quản lý chuỗi cung ứng)","A00; A01; D01",27.1,29.4,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75201031,"Kỹ thuật cơ khí (Máy xếp dỡ và Máy xây dựng)","A00; A01",22.7,23.8,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75201032,"Kỹ thuật cơ khí (Cơ khí tự động)","A00; A01",24.6,26.2,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520122,"Kỹ thuật tàu thủy","A00; A01",15,18,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75201301,"Kỹ thuật ô tô (Cơ khí ôtô)","A00; A01",25.3,27,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75201302,"Kỹ thuật ô tô (Cơ điện tử ôtô)","A00; A01",25.4,27.1,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75202011,"Kỹ thuật điện (Điện công nghiệp)","A00; A01",24.2,25.5,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75202012,"Kỹ thuật điện (Hệ thống điện giao thông)","A00; A01",19.5,20,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520207,"Kỹ thuật điện tử - viễn thông (Điện tử viễn thông)","A00; A01",23.6,25.6,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520216,"Kỹ thuật điều khiển và tự động hóa (Tự động hoá công nghiệp)","A00; A01",25.4,26.5,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520320,"Kỹ thuật môi trường","A00; A01; B00",15,18,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75802011,"Kỹ thuật xây dựng (Xây dựng dân dụng và công nghiệp)","A00; A01",23.4,25.8,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75802012,"Kỹ thuật xây dựng (Kỹ thuật kết cấu công trình)","A00; A01",22.2,24.5,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580202,"Kỹ thuật xây dựng công trình thủy (Xây dựng và quản lý cảng - công trình giao thông thủy)","A00; A01",15,19,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75802051,"Kỹ thuật xây dựng công trình giao thông (Xây dựng cầu đường)","A00; A01",23,25.2,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75802054,"Kỹ thuật xây dựng công trình giao thông (Xây dựng công trình giao thông đô thị)","A00; A01",21,21,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75802055,"Kỹ thuật xây dựng công trình giao thông (Quy hoạch và quản lý giao thông)","A00; A01",16.4,20,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75803011,"Kinh tế xây dựng (Kinh tế xây dựng)","A00; A01; D01",24.2,25.8,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75803012,"Kinh tế xây dựng (Quản lý dự án xây dựng)","A00; A01; D01",24.2,25.6,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7840101,"Khai thác vận tải (Quản lý và kinh doanh vận tải)","A00; A01; D01",25.9,27.5,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7840104,"Kinh tế vận tải (Kinh tế vận tải biển)","A00; A01; D01",25.5,27.1,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
78401061,"Khoa học hàng hải (Điều khiển tàu biển)","A00; A01",15,21.6,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
78401062,"Khoa học hàng hải (Vận hành khai thác máy tàu thủy)","A00; A01",15,20,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
78401064,"Khoa học hàng hải (Quản lý hàng hải)","A00; A01; D01",23.7,25.3,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
78401065,"Khoa học hàng hải (Điện tàu thuỷ)","A00; A01",15,18,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201H,"Công nghệ thông tin","A00; A01",24.5,26,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520103H,"Kỹ thuật cơ khí (Cơ khí ô tô)","A00; A01",24.1,26,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520207H,"Kỹ thuật điện tử - viễn thông","A00; A01",19,23.4,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520216H,"Kỹ thuật điều khiển và tự động hóa","A00; A01",23.2,25,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201H,"Kỹ thuật xây dựng","A00; A01",20,23.4,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
75802051H,"Kỹ thuật xây dựng công trình giao thông (Xây dựng cầu đường)","A00; A01",18,22,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580301H,"Kinh tế xây dựng","A00; A01; D01",22.2,24,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7840101H,"Khai thác vận tải (Quản trị Logistics và vận tải đa phương thức)","A00; A01; D01",25.7,28,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7840104H,"Kinh tế vận tải (Kinh tế vận tải biển)","A00; A01; D01",24.8,26,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
78401061H,"Khoa học hàng hải (Điều khiển tàu biển)","A00; A01",15,18,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
78401062H,"Khoa học hàng hải (Vận hành khai thác máy tàu thủy)","A00; A01",15,18,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
78401064H,"Khoa học hàng hải (Quản lý hàng hải)","A00; A01; D01",20,23.5,0,250,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A01; D01; D78; D96",23.4,26,0,252,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","A01; D01; D78; D96",24.6,26,0,252,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7840102,"Quản lý hoạt động bay","A01; D01; D78; D96",26.3,0,0,252,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510302,"CNKT Điện tử viễn thông","A00; A01; D07; D90",18,21,0,252,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510303,"CNKT Điều khiển & TĐH","A00; A01; D07; D90",18,21,0,252,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; D07; D90",21.6,24,0,252,"2022-04-15 13:45:53","2022-04-15 13:45:53"
