"Cao Đẳng Sư Phạm Đăk Lăk",'C40',57,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Văn Hóa Nghệ Thuật Đăk Lăk",'CVL',57,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Sư Phạm Điện Biên",'C62',51,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Kinh Tế Kỹ Thuật Điện Biên",'CDB',51,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Y Tế Điện Biên",'CDY',51,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Đại Học Công Nghệ Đồng Nai",'DCD',48,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Đại Học Lạc Hồng",'DLH',48,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Đại Học Đồng Nai",'DNU',48,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Trường Sĩ Quan Lục Quân 2 - Đại học Nguyễn Huệ",'LBH',48,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Đại Học Lâm Nghiệp ( Cơ sở 2 )",'LNS',48,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Mỹ Thuật Trang Trí Đồng Nai",'CDN',48,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Công Nghệ và Quản Trị Sonadezi",'CDS',48,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Y Tế Đồng Nai",'CYD',48,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Đại Học Đồng Tháp",'SPD',19,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Y Tế Đồng Tháp",'CYA',19,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Cộng Đồng Đồng Tháp",'D50',19,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Sư Phạm Gia Lai",'C38',10,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Sư Phạm Hà Giang",'C05',49,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Đại Học Hà Hoa Tiên",'DHH',33,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Sư Phạm Hà Nam",'C24',33,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Phát Thanh Truyền Hình I",'CPT',33,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Thủy Lợi Bắc Bộ",'CTL',33,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Cao Đẳng Y Tế Hà Nam",'CYH',33,1,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Học Viện An Ninh Nhân Dân",'ANH',42,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Đại Học Bách Khoa Hà Nội",'BKA',42,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Học Viện Biên Phòng",'BPH',42,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )",'BVH',42,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Đại Học Công Nghiệp Dệt May Hà Nội",'CCM',42,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
"Học Viện Cảnh Sát Nhân Dân",'CSH',42,2,,,,"2022-04-15 13:43:51","2022-04-15 13:43:51"
